  no.      freq.      period     coherency     phase     Gain relative to 2
    1    0.00019  5232.00000     0.7118554   168.913     1.7935706
    2    0.00038  2616.00000     0.7104753   162.877     1.8529577
    3    0.00057  1744.00000     0.6356016   167.361     1.6840597
    4    0.00076  1308.00000     0.6341299   173.366     1.2323450
    5    0.00096  1046.40002     0.7132851   175.948     1.0758784
    6    0.00115   872.00000     0.7007057   179.954     0.9823921
    7    0.00134   747.42859     0.6409675   181.160     0.9407631
    8    0.00153   654.00000     0.6453573   177.044     1.0863848
    9    0.00172   581.33331     0.6595714   170.593     1.2331549
   10    0.00191   523.20001     0.6314098   167.637     1.2159657
   11    0.00210   475.63635     0.6382899   176.289     1.2525101
   12    0.00229   436.00000     0.6622774   186.757     1.2691605
   13    0.00248   402.46155     0.6500631   190.615     1.1474799
   14    0.00268   373.71429     0.5936800   186.614     0.9622264
   15    0.00287   348.79999     0.5354405   179.941     0.8215133
   16    0.00306   327.00000     0.5770015   179.954     0.7927799
   17    0.00325   307.76471     0.6870804   185.038     0.8047967
   18    0.00344   290.66666     0.7262394   185.737     0.7878426
   19    0.00363   275.36841     0.7329212   180.958     0.8175131
   20    0.00382   261.60001     0.7786718   178.709     0.9613436
   21    0.00401   249.14285     0.8398451   181.081     1.1342087
   22    0.00420   237.81818     0.8703573   181.491     1.2316973
   23    0.00440   227.47826     0.8842245   180.232     1.2623372
   24    0.00459   218.00000     0.9017917   179.093     1.2657186
   25    0.00478   209.28000     0.9142523   178.846     1.2811285
   26    0.00497   201.23077     0.9185598   178.676     1.2782053
   27    0.00516   193.77777     0.9188479   176.791     1.2128234
   28    0.00535   186.85715     0.9221958   174.173     1.1424661
   29    0.00554   180.41379     0.9285598   173.768     1.1294430
   30    0.00573   174.39999     0.9277403   175.375     1.1581001
   31    0.00593   168.77420     0.8937261   177.882     1.1727432
   32    0.00612   163.50000     0.8442556   178.747     1.1017559
   33    0.00631   158.54546     0.8546193   177.955     1.0839479
   34    0.00650   153.88235     0.8784074   177.306     1.1124305
   35    0.00669   149.48572     0.8802216   176.852     1.1118819
   36    0.00688   145.33333     0.8930455   177.994     1.0688939
   37    0.00707   141.40541     0.9227275   178.670     1.0375167
   38    0.00726   137.68420     0.9400569   177.436     1.0300542
   39    0.00745   134.15384     0.9450555   175.985     1.0533236
   40    0.00765   130.80000     0.9389541   175.679     1.0825442
   41    0.00784   127.60976     0.9290542   175.781     1.0931568
   42    0.00803   124.57143     0.9197420   175.722     1.0836246
   43    0.00822   121.67442     0.9136602   175.022     1.0669074
   44    0.00841   118.90909     0.9196552   174.444     1.0758182
