  no.      freq.      period     coherency     phase     Gain relative to 2
    1    0.00019  5232.00000     0.7359639   168.600     1.2064639
    2    0.00038  2616.00000     0.7540479   162.226     1.2613493
    3    0.00057  1744.00000     0.6630509   162.240     1.2614263
    4    0.00076  1308.00000     0.5407371   162.011     1.1425101
    5    0.00096  1046.40002     0.6433420   168.868     1.1199712
    6    0.00115   872.00000     0.7041362   172.022     1.0941288
    7    0.00134   747.42859     0.6613348   171.703     0.9755552
    8    0.00153   654.00000     0.5927399   170.556     0.8232570
    9    0.00172   581.33331     0.5753880   170.874     0.8095781
   10    0.00191   523.20001     0.6234992   173.635     0.9966395
   11    0.00210   475.63635     0.7381197   175.981     1.2458477
   12    0.00229   436.00000     0.8120574   176.599     1.2597798
   13    0.00248   402.46155     0.8215773   177.171     1.0788506
   14    0.00268   373.71429     0.7804595   179.550     0.9281957
   15    0.00287   348.79999     0.6973861   184.020     0.9156545
   16    0.00306   327.00000     0.6881076   184.335     1.0342197
   17    0.00325   307.76471     0.7662838   179.620     1.1658884
   18    0.00344   290.66666     0.8359742   175.882     1.2356044
   19    0.00363   275.36841     0.8467348   173.402     1.2575926
   20    0.00382   261.60001     0.8478884   173.271     1.2216101
   21    0.00401   249.14285     0.8348957   175.539     1.1872239
   22    0.00420   237.81818     0.7851114   175.054     1.2638783
   23    0.00440   227.47826     0.7729251   170.593     1.3752376
   24    0.00459   218.00000     0.7734418   166.800     1.2817082
   25    0.00478   209.28000     0.7715004   165.658     1.0604613
   26    0.00497   201.23077     0.8074966   166.226     0.9787585
   27    0.00516   193.77777     0.8241245   165.558     1.0044317
   28    0.00535   186.85715     0.8024422   164.572     0.9712543
   29    0.00554   180.41379     0.7938194   166.242     0.9441051
   30    0.00573   174.39999     0.8213558   169.112     1.0255896
   31    0.00593   168.77420     0.8357680   170.220     1.1034131
   32    0.00612   163.50000     0.7955787   170.440     1.0244070
   33    0.00631   158.54546     0.7357410   170.323     0.8605804
   34    0.00650   153.88235     0.7225410   168.782     0.8083631
   35    0.00669   149.48572     0.7245641   165.293     0.8488134
   36    0.00688   145.33333     0.6734431   162.427     0.7847410
   37    0.00707   141.40541     0.5840400   160.660     0.6362684
   38    0.00726   137.68420     0.5801322   158.566     0.6536431
   39    0.00745   134.15384     0.6501093   159.215     0.7748127
   40    0.00765   130.80000     0.6928316   159.476     0.8513246
   41    0.00784   127.60976     0.6843966   158.093     0.8327976
   42    0.00803   124.57143     0.6756618   159.511     0.7773294
   43    0.00822   121.67442     0.7013037   162.915     0.8185483
   44    0.00841   118.90909     0.6915062   160.322     0.8254704
   45    0.00860   116.26667     0.6675250   154.465     0.7528410
   46    0.00879   113.73913     0.6723225   152.348     0.7501115
   47    0.00898   111.31915     0.6717390   154.532     0.8199109
   48    0.00917   109.00000     0.6569260   156.235     0.8222817
   49    0.00937   106.77551     0.6653121   157.234     0.7785531
   50    0.00956   104.64000     0.6813495   159.577     0.7692918
   51    0.00975   102.58823     0.6575152   163.943     0.7414729
   52    0.00994   100.61539     0.6306338   169.871     0.6744412
   53    0.01013    98.71698     0.6374094   174.232     0.6392088
   54    0.01032    96.88889     0.6458585   173.973     0.6598107
   55    0.01051    95.12727     0.6563905   170.568     0.7116129
   56    0.01070    93.42857     0.6458427   166.065     0.7393618
   57    0.01089    91.78947     0.6019374   160.053     0.6922229
   58    0.01109    90.20689     0.5598181   154.567     0.6137731
   59    0.01128    88.67796     0.5417259   153.324     0.5765054
   60    0.01147    87.20000     0.5658354   154.485     0.6056506
   61    0.01166    85.77049     0.5991998   154.543     0.6195586
   62    0.01185    84.38710     0.5929931   154.801     0.5616558
   63    0.01204    83.04762     0.5519048   156.394     0.5200576
   64    0.01223    81.75000     0.4996633   160.239     0.5104504
   65    0.01242    80.49231     0.4896888   165.191     0.5103571
   66    0.01261    79.27273     0.5547864   165.159     0.5796831
   67    0.01281    78.08955     0.6060202   164.330     0.6534593
   68    0.01300    76.94118     0.5945523   165.869     0.6245076
   69    0.01319    75.82609     0.5540957   167.148     0.5576174
   70    0.01338    74.74286     0.5350240   166.154     0.5518904
   71    0.01357    73.69014     0.4907417   165.520     0.4808369
   72    0.01376    72.66666     0.4203851   157.816     0.3399059
   73    0.01395    71.67123     0.4102422   147.274     0.3027623
   74    0.01414    70.70271     0.4544120   152.050     0.3802907
   75    0.01433    69.76000     0.5274384   161.076     0.5217143
   76    0.01453    68.84210     0.5404322   162.786     0.5364230
   77    0.01472    67.94805     0.5079975   159.106     0.4341951
   78    0.01491    67.07692     0.4932740   152.027     0.3724816
   79    0.01510    66.22785     0.4616935   143.752     0.3675073
   80    0.01529    65.40000     0.3650550   133.369     0.3083750
   81    0.01548    64.59259     0.2319640   118.830     0.1954656
   82    0.01567    63.80488     0.1338246   104.910     0.1152598
   83    0.01586    63.03614     0.0988457   142.575     0.0813940
   84    0.01606    62.28571     0.1728142   185.351     0.1223536
   85    0.01625    61.55294     0.2956543   193.736     0.1914358
   86    0.01644    60.83721     0.4430900   184.486     0.3078136
   87    0.01663    60.13793     0.5446003   171.477     0.4332592
   88    0.01682    59.45454     0.5472636   163.258     0.4710815
   89    0.01701    58.78652     0.5212666   162.370     0.4646794
   90    0.01720    58.13334     0.5339729   166.889     0.4823052
   91    0.01739    57.49451     0.5352884   171.776     0.4647740
   92    0.01758    56.86956     0.4250411   176.287     0.3501581
   93    0.01778    56.25806     0.3454334   180.970     0.3218641
   94    0.01797    55.65957     0.4116952   182.197     0.4381293
   95    0.01816    55.07368     0.4305798   182.536     0.4357470
   96    0.01835    54.50000     0.4361846   180.778     0.3723814
